	Vocal	Audio	EucDistMFCC
0	a	Monophonic	34.24135677373767
1	a	Monophonic	30.89366360553812
2	a	Monophonic	38.93314058732162
3	a	Monophonic	53.22142216432759
4	a	Monophonic	33.89771027155283
5	a	Monophonic	40.48481466897851
6	a	Monophonic	46.441848809576825
7	a	Monophonic	56.89559587865798
8	a	Monophonic	52.14619158176521
9	a	Monophonic	56.586866671713715
10	a	Monophonic	47.33098423355533
11	a	Monophonic	57.91973878898875
12	a	Monophonic	51.71199414574218
13	a	Monophonic	57.96817129591346
14	a	Monophonic	59.414250916852936
15	a	Monophonic	63.60687964832552
16	a	Monophonic	54.770277283037096
17	a	Monophonic	60.517081100463244
18	a	Monophonic	40.03790729030899
19	a	Monophonic	42.354923671464725
20	a	Monophonic	38.440038171007224
21	a	Monophonic	58.585608417252864
22	a	Monophonic	39.777045647913035
23	a	Monophonic	45.31847389890266
24	a	Monophonic	44.670878536559506
25	a	Monophonic	53.63729084118643
26	a	Monophonic	50.60270010982321
27	a	Monophonic	63.116463959690236
28	a	Monophonic	48.466460183718446
29	a	Monophonic	56.09051583676821
30	a	Monophonic	54.971768007258355
31	a	Monophonic	48.94545439772123
32	a	Monophonic	46.32507871741796
33	a	Monophonic	76.92758974297776
34	a	Monophonic	57.006230774231824
35	a	Monophonic	58.11963604407999
36	a	Nose	48.80066442230783
37	a	Nose	51.56766291376245
38	a	Nose	46.53094205281307
39	a	Nose	56.600459405001374
40	a	Nose	46.01285741174072
41	a	Nose	58.297786704755616
42	a	Nose	67.54111915035867
43	a	Nose	78.76446697295253
44	a	Nose	65.5790194790697
45	a	Nose	66.16171010588388
46	a	Nose	60.594107507504646
47	a	Nose	76.0333286096829
48	a	Nose	58.09020466185679
49	a	Nose	72.09900691743879
50	a	Nose	55.279762775877316
51	a	Nose	67.35311121671782
52	a	Nose	56.562447343309564
53	a	Nose	71.49658196027916
54	a	Nose	59.06797292585611
55	a	Nose	65.07472922570227
56	a	Nose	49.45406413896432
57	a	Nose	59.664349143474155
58	a	Nose	48.25469976858527
59	a	Nose	65.65720495492269
60	a	Nose	58.23275719238473
61	a	Nose	64.62631332735559
62	a	Nose	61.70549809619709
63	a	Nose	62.781420821292656
64	a	Nose	55.61055881129692
65	a	Nose	61.604545371319794
66	a	Nose	70.69711180750492
67	a	Nose	72.85972830720276
68	a	Nose	61.3840846090507
69	a	Nose	77.63641523434109
70	a	Nose	67.60719265398279
71	a	Nose	76.80474615814069
72	a	Mouth	33.53064191910437
73	a	Mouth	32.151506139397085
74	a	Mouth	40.45530589901186
75	a	Mouth	48.321565996099764
76	a	Mouth	35.795675710900184
77	a	Mouth	46.00395184139609
78	a	Mouth	47.35592798288676
79	a	Mouth	59.23665438059071
80	a	Mouth	56.56758717760375
81	a	Mouth	50.01432976845064
82	a	Mouth	51.045273516564464
83	a	Mouth	58.7540513120987
84	a	Mouth	45.211260474252896
85	a	Mouth	58.44624014080154
86	a	Mouth	53.41060541502296
87	a	Mouth	54.33269945951213
88	a	Mouth	53.56295786524865
89	a	Mouth	61.37542226090659
90	a	Mouth	31.617384888477137
91	a	Mouth	42.390266516940244
92	a	Mouth	36.23256721024586
93	a	Mouth	46.180922027815576
94	a	Mouth	35.710082346199634
95	a	Mouth	42.32502579615886
96	a	Mouth	37.42515480751934
97	a	Mouth	47.4964419399465
98	a	Mouth	50.303290351345694
99	a	Mouth	53.92248504605863
100	a	Mouth	46.510329002647175
101	a	Mouth	49.53769064531949
102	a	Mouth	40.728539623562654
103	a	Mouth	43.37341204932548
104	a	Mouth	36.99454545238345
105	a	Mouth	56.91801421100467
106	a	Mouth	46.902708603541136
107	a	Mouth	56.92417339056974
108	e	Monophonic	57.932023060616594
109	e	Monophonic	60.06093699727317
110	e	Monophonic	64.46193059843792
111	e	Monophonic	61.83174671220794
112	e	Monophonic	67.93294956562525
113	e	Monophonic	53.37087335498973
114	e	Monophonic	33.50152957884207
115	e	Monophonic	45.4318542326191
116	e	Monophonic	45.710599906892654
117	e	Monophonic	39.68768797894312
118	e	Monophonic	44.00276018523092
119	e	Monophonic	43.09859283680698
120	e	Monophonic	34.07317383917682
121	e	Monophonic	63.11343841719944
122	e	Monophonic	48.35085437299846
123	e	Monophonic	31.868743454685866
124	e	Monophonic	42.90801076488193
125	e	Monophonic	54.59724814864443
126	e	Monophonic	51.60730978561844
127	e	Monophonic	75.56692415678333
128	e	Monophonic	54.77218129466076
129	e	Monophonic	47.96798591364337
130	e	Monophonic	54.38390844073449
131	e	Monophonic	63.348910990891376
132	e	Monophonic	60.28967405348201
133	e	Monophonic	55.87336100947009
134	e	Monophonic	71.11898630061245
135	e	Monophonic	63.909873250920654
136	e	Monophonic	79.2956485580593
137	e	Monophonic	62.45972435621092
138	e	Monophonic	80.00209869089966
139	e	Monophonic	98.68596901475212
140	e	Monophonic	79.11026921642005
141	e	Monophonic	76.03996896531531
142	e	Monophonic	77.54895121885518
143	e	Monophonic	89.1184261943716
144	e	Nose	76.96819124902494
145	e	Nose	59.747892038277136
146	e	Nose	66.01165447193596
147	e	Nose	79.18723444835648
148	e	Nose	80.36827199640835
149	e	Nose	76.16118075259503
150	e	Nose	72.62000344939186
151	e	Nose	54.23206408376042
152	e	Nose	59.8655380373562
153	e	Nose	70.91085729981475
154	e	Nose	70.65153932502695
155	e	Nose	69.06257822183366
156	e	Nose	60.627735348079895
157	e	Nose	57.38566576458686
158	e	Nose	51.05419717326898
159	e	Nose	52.61856497657592
160	e	Nose	55.2406213964587
161	e	Nose	63.251646105307366
162	e	Nose	63.92397258703875
163	e	Nose	52.156410927684
